gameId,playId,x,y,hangTime,frameId,playDirection
2018090905,1735,43.39,27.97,4.15,75,left
2018090905,1992,66.03,26.37,2.15,54,right
2018090905,2393,30.57,5.91,4.55,78,left
2018090905,3669,96.99,29.15,4.1,73,right
2018090905,3749,38.1,17.63,4.53,78,left
2018090905,3844,91.89,23.03,4.44,78,right
2018090905,4311,15.37,6.59,3.98,71,left
2018090906,1373,87.62,36.27,4.77,81,right
2018090906,2681,85.19,12.86,3.83,72,right
2018090906,2776,35.78,26.7,4.46,77,left
2018090906,2947,98.79,43.7,4.59,80,right
2018090907,522,57.83,18.73,4.12,58,right
2018090907,1340,50.61,5.08,4.48,79,left
2018090907,2357,60.44,-0.29,4.33,74,left
2018090907,2578,20.83,48.69,3.62,71,left
2018090907,2708,87.52,2.91,4.34,78,right
2018090907,2877,24.05,53.66,3.87,70,left
2018090907,3105,10.74,43.49,4.68,81,left
2018090907,3215,83.0,38.06,4.19,76,right
2018090907,3497,81.56,21.52,4.16,76,right
2018090907,3618,25.23,18.47,4.14,77,left
2018090907,3801,95.51,8.79,4.84,80,right
2018090907,4113,89.96,28.55,3.87,69,right
2018090909,309,17.91,33.43,4.41,76,left
2018090909,501,107.47,10.18,4.71,79,right
2018090909,918,28.66,20.42,4.24,77,left
2018090909,1416,27.58,6.59,4.71,81,left
2018090909,1990,17.63,11.19,4.13,74,left
2018090909,2106,62.68,24.13,4.58,79,right
2018090909,2247,24.33,46.26,4.47,78,left
2018090909,2663,93.67,33.37,4.35,76,right
2018090909,3706,42.68,22.07,4.57,79,left
2018090910,172,75.98,49.28,4.44,78,right
2018090910,700,104.77,42.94,5.11,85,right
2018090910,966,95.89,34.3,4.37,76,right
2018090910,1047,48.42,35.99,4.77,79,left
2018090910,1329,38.87,40.58,4.79,82,left
2018090910,1448,92.12,50.33,4.86,82,right
2018090910,1582,19.13,39.38,4.66,79,left
2018090910,2269,101.02,45.21,4.79,79,right
2018090910,2467,24.84,18.37,4.53,79,left
2018090910,2550,79.92,35.66,4.68,79,right
2018090910,3477,35.06,35.07,4.59,76,left
2018090910,3866,15.59,31.72,4.64,77,left
2018090912,170,86.52,2.84,4.62,82,right
2018090912,583,80.48,24.01,4.32,77,right
2018090912,943,26.54,41.87,4.58,80,left
2018090912,1055,90.52,34.57,4.65,82,right
2018090912,1149,28.8,18.94,4.86,83,left
2018090912,1577,83.48,47.42,4.86,84,right
2018090912,2562,91.4,36.74,5.05,85,right
2018090912,2892,33.77,33.09,4.05,75,left
2018091000,349,20.72,9.58,4.48,76,left
2018091000,469,83.67,9.56,4.65,81,right
2018091000,1407,106.43,40.69,4.45,76,right
2018091000,1545,45.53,25.84,4.24,77,left
2018091000,2626,75.14,9.16,4.08,74,right
2018091000,3527,60.9,53.49,4.14,65,right
2018091001,384,21.35,16.5,4.26,74,left
2018091001,499,69.8,45.2,4.58,79,right
2018091001,2597,90.57,18.1,4.52,81,right
2018091001,2761,24.9,5.05,4.66,81,left
2018091001,2840,50.89,31.97,4.52,79,right
2018091001,3121,32.17,13.7,4.61,81,left
2018091300,122,88.98,21.64,4.06,73,right
2018091300,304,29.52,17.19,5.06,84,left
2018091300,759,104.09,17.84,4.2,73,right
2018091300,1023,90.62,28.94,4.87,81,right
2018091300,2465,91.66,7.82,4.17,76,right
2018091300,2960,45.78,32.96,3.73,72,left
2018091300,3261,31.03,47.31,4.94,83,left
2018091300,3552,18.07,30.06,4.25,77,left
2018091300,3854,97.43,12.91,4.24,75,right
2018091600,773,84.5,40.2,3.95,74,right
2018091600,1638,46.21,33.2,4.9,85,right
2018091600,2116,67.59,29.81,4.56,78,right
2018091600,2551,100.72,8.88,4.36,77,right
2018091600,2741,12.38,15.12,4.45,80,left
2018091600,3530,103.42,39.12,4.52,81,right
2018091600,3830,98.6,15.61,4.82,84,right
2018091601,121,22.59,4.64,4.52,79,left
2018091601,205,67.69,20.15,3.56,68,right
2018091601,426,76.33,25.58,3.59,68,right
2018091601,1289,27.79,19.81,4.88,80,left
2018091601,2485,99.94,31.48,4.69,81,right
2018091601,2813,60.01,38.3,3.85,72,right
2018091601,3005,70.96,5.07,4.14,76,right
2018091601,3210,94.66,48.22,3.99,73,right
2018091601,3533,12.1,39.29,4.09,58,left
2018091602,223,17.67,39.79,5.02,85,left
2018091602,1091,9.64,31.66,4.95,81,left
2018091602,1198,91.4,5.5,5.51,89,right
2018091602,1330,18.97,41.55,4.71,81,left
2018091602,1446,75.79,39.6,5.24,81,right
2018091602,2412,34.26,49.31,4.86,80,left
2018091602,2502,74.57,27.34,4.99,82,right
2018091602,4457,104.53,17.92,4.54,80,right
2018091603,129,39.37,5.66,4.58,80,left
2018091603,971,90.13,42.14,4.63,78,right
2018091603,1907,26.63,11.87,4.94,82,left
2018091603,2107,30.9,49.69,4.91,81,left
2018091603,2658,27.59,10.99,4.55,77,left
2018091603,3326,43.67,52.95,4.7,77,left
2018091603,3415,85.46,17.41,4.56,78,right
2018091604,138,18.12,46.2,4.37,76,left
2018091604,303,70.31,17.41,4.74,80,right
2018091604,423,47.84,35.44,3.01,64,left
2018091604,815,30.98,13.48,3.85,71,left
2018091604,909,92.95,32.68,4.6,77,right
2018091604,1017,27.07,11.21,4.32,73,left
2018091604,1206,101.35,12.83,4.41,67,right
2018091604,1549,33.26,25.62,4.41,76,left
2018091604,2528,17.25,39.39,4.38,76,left
2018091604,2659,100.98,8.97,4.23,74,right
2018091604,3295,88.83,39.23,4.47,76,right
2018091605,145,67.34,52.52,4.49,80,right
2018091605,373,68.2,2.24,3.15,65,right
2018091605,1452,93.61,53.78,4.82,79,right
2018091605,1943,95.01,29.36,4.25,74,right
2018091605,3318,72.75,49.32,3.41,69,right
2018091605,3712,17.04,46.11,3.67,71,left
2018091605,4008,9.54,39.87,5.43,81,left
2018091606,182,100.1,27.89,4.69,78,right
2018091606,340,27.02,43.65,4.6,77,left
2018091606,593,92.98,13.32,4.83,81,right
2018091606,741,48.26,0.84,4.48,78,left
2018091606,1028,11.43,8.03,3.92,71,left
2018091606,1210,94.61,32.59,4.49,74,right
2018091606,1757,29.13,32.36,3.46,66,left
2018091606,2649,100.8,16.15,4.75,80,right
2018091606,2807,26.3,0.61,4.47,78,left
2018091606,3523,88.86,30.2,3.85,71,right
2018091606,4125,102.52,23.38,4.28,75,right
2018091607,1227,20.87,42.63,4.44,78,left
2018091607,1334,77.99,47.95,4.39,76,right
2018091607,1567,51.81,49.26,4.76,81,left
2018091607,2092,98.32,53.44,4.47,72,right
2018091607,2357,17.92,30.01,4.14,73,left
2018091607,2458,70.94,40.64,4.57,78,right
2018091607,2794,78.64,20.69,4.27,74,right
2018091607,3329,110.36,48.72,4.26,70,right
2018091608,454,100.08,9.06,4.11,74,right
2018091608,541,43.15,50.05,4.51,79,left
2018091608,726,106.21,17.45,4.15,76,right
2018091608,1534,28.0,47.19,4.22,75,left
2018091608,1636,84.92,25.05,3.94,74,right
2018091608,1960,44.59,53.56,3.52,67,left
2018091608,2073,95.48,44.25,4.94,81,right
2018091608,2536,33.52,16.07,4.01,74,left
2018091608,2884,83.33,19.62,3.98,73,right
2018091608,3900,12.26,37.93,4.69,80,left
2018091609,280,15.76,8.61,5.05,82,left
2018091609,460,96.9,53.38,4.0,70,right
2018091609,669,22.26,9.83,4.02,75,left
2018091609,783,69.55,29.91,3.53,69,right
2018091609,1057,40.41,36.77,4.51,77,left
2018091609,1552,19.78,23.82,4.25,77,left
2018091609,2032,100.91,15.66,4.26,76,right
2018091609,2352,80.74,23.59,4.42,78,right
2018091609,2691,66.34,10.6,3.1,64,right
2018091609,2928,44.14,35.4,4.0,75,left
2018091610,249,99.89,42.13,4.11,81,right
2018091610,1306,36.89,26.52,3.85,72,left
2018091610,1440,89.86,29.89,4.12,72,right
2018091610,1855,22.9,32.76,4.1,74,left
2018091610,1960,66.05,37.19,4.63,78,right
2018091610,2919,22.19,34.47,4.72,81,left
2018091610,3136,97.83,42.68,3.88,74,right
2018091610,3362,45.51,20.53,3.65,64,left
2018091610,3871,81.4,18.69,4.82,80,right
2018091610,4585,93.14,7.52,4.4,76,right
2018091611,378,32.49,34.91,4.12,74,left
2018091611,510,87.56,53.65,4.71,78,right
2018091611,595,14.97,37.16,4.79,80,left
2018091611,698,92.02,38.84,4.68,79,right
2018091611,797,31.49,11.06,4.02,74,left
2018091611,1273,46.07,48.12,3.51,68,left
2018091611,1355,85.94,31.58,4.78,80,right
2018091611,3747,10.95,50.86,4.32,75,left
2018091612,568,22.39,5.84,4.39,78,left
2018091612,963,110.14,19.91,5.27,80,right
2018091612,1138,16.32,12.17,4.43,80,left
2018091612,2450,40.65,16.49,4.45,75,left
2018091612,2899,69.51,25.72,3.93,70,right
2018091612,3372,16.57,8.17,4.21,75,left
2018091612,3460,86.23,39.79,4.52,80,right
2018091613,300,92.59,30.11,4.5,78,right
2018091613,611,107.73,30.0,4.82,82,right
2018091613,778,35.4,11.41,3.99,71,left
2018091613,915,52.92,45.41,5.35,88,left
2018091613,1035,87.45,46.12,3.94,72,right
2018091613,1339,18.73,6.78,4.58,79,left
2018091613,1575,94.0,37.98,4.55,78,right
2018091613,1811,24.37,16.48,4.62,78,left
2018091613,2608,76.67,34.8,4.93,82,right
2018091613,2715,78.89,26.03,3.56,69,right
2018091700,227,105.87,37.06,4.36,75,right
2018091700,735,102.59,13.65,4.76,79,right
2018091700,949,96.75,33.74,4.63,79,right
2018091700,1108,53.92,7.99,4.49,75,left
2018091700,1238,27.72,34.02,4.92,81,left
2018091700,1507,62.88,53.77,3.65,56,left
2018091700,2286,28.96,17.88,3.88,72,left
2018091700,2401,93.7,33.14,4.77,80,right
2018091700,2606,17.53,8.75,4.58,78,left
2018091700,2742,68.82,28.15,4.61,77,right
2018091700,3513,74.38,42.39,4.59,79,right
2018091700,3889,104.51,33.47,4.61,78,right
2018092000,116,80.44,36.16,4.64,78,right
2018092000,202,42.95,21.8,3.93,72,left
2018092000,370,101.7,46.78,4.14,74,right
2018092000,453,64.83,25.83,3.75,69,left
2018092000,542,98.61,19.26,4.39,75,right
2018092000,680,23.1,39.02,4.97,82,left
2018092000,801,42.91,37.72,2.7,58,right
2018092000,1061,36.28,42.99,4.41,76,left
2018092000,1722,18.08,31.67,4.63,78,left
2018092000,1849,68.37,13.5,4.95,82,right
2018092000,2139,91.62,53.84,3.48,62,right
2018092000,2359,18.91,21.43,4.45,77,left
2018092000,2608,92.49,53.69,4.08,59,right
2018092000,2943,33.06,38.97,4.97,83,left
2018092000,4219,15.57,16.63,3.79,70,left
2018092300,382,77.06,11.27,3.73,71,right
2018092300,477,27.51,24.7,4.0,72,left
2018092300,1022,108.24,33.38,3.54,67,right
2018092300,1127,38.64,34.42,5.04,85,left
2018092300,1435,29.83,38.26,4.04,74,left
2018092300,1976,102.58,11.88,5.04,82,right
2018092300,2075,52.07,28.26,4.13,74,left
2018092300,2602,84.17,7.12,4.65,76,right
2018092300,4324,96.93,16.67,4.56,79,right
2018092301,968,34.98,16.33,3.47,69,left
2018092301,1121,16.71,51.94,4.75,81,left
2018092301,1207,58.29,31.24,3.07,65,right
2018092301,1577,81.01,44.08,2.84,64,right
2018092301,1907,96.41,45.89,4.02,72,right
2018092301,2126,20.26,32.02,4.72,81,left
2018092301,2247,60.7,46.9,3.22,66,right
2018092301,2495,99.86,36.39,4.62,81,right
2018092301,3243,104.8,51.2,3.87,71,right
2018092301,3423,76.47,28.2,3.07,64,right
2018092301,3819,91.37,45.15,4.09,73,right
2018092302,123,34.51,43.39,4.88,82,left
2018092302,1884,22.9,22.39,3.49,68,left
2018092302,2105,30.1,26.98,3.51,71,left
2018092302,2237,99.42,7.1,4.22,75,right
2018092302,2932,99.11,31.72,4.76,81,right
2018092302,3100,16.74,42.03,5.06,84,left
2018092302,3437,27.02,51.57,4.0,71,left
2018092303,755,95.1,38.99,4.29,74,right
2018092303,1215,27.77,32.18,4.92,81,left
2018092303,1565,38.76,7.81,4.31,76,left
2018092303,2178,44.21,33.36,3.91,74,left
2018092303,2467,28.0,50.44,4.69,81,left
2018092303,2722,40.47,50.53,4.54,79,left
2018092303,3026,86.91,33.79,4.31,77,right
2018092304,222,10.83,31.55,4.08,74,left
2018092304,301,9.84,29.97,4.69,23,right
2018092304,881,20.57,7.45,4.29,76,left
2018092304,1035,36.96,50.67,3.93,72,left
2018092304,1431,32.99,32.75,4.49,78,left
2018092304,1562,68.8,28.12,3.61,71,right
2018092304,1670,10.79,46.41,4.38,74,left
2018092304,1755,70.45,18.87,3.41,68,right
2018092304,2500,99.5,40.52,4.23,76,right
2018092304,2716,29.27,18.21,4.62,79,left
2018092304,3542,32.65,33.03,4.16,76,left
2018092304,3785,93.28,53.45,4.07,65,right
2018092305,144,68.18,53.51,4.28,71,right
2018092305,612,97.69,51.52,4.76,80,right
2018092305,1467,39.07,29.38,4.65,79,left
2018092305,1955,42.22,47.97,4.61,79,left
2018092305,2775,97.01,3.98,4.73,80,right
2018092305,3119,77.01,28.31,4.17,74,right
2018092306,250,98.01,36.22,4.89,81,right
2018092306,783,72.91,14.22,4.51,78,right
2018092306,929,100.66,9.8,5.43,87,right
2018092306,1038,44.82,52.58,3.78,68,right
2018092306,1882,20.52,44.5,4.39,74,left
2018092306,2084,33.9,29.92,4.72,80,left
2018092306,2776,95.39,41.85,4.52,78,right
2018092306,2945,90.53,15.34,4.59,79,right
2018092306,3156,37.72,40.23,4.47,78,left
2018092307,811,84.42,50.85,4.46,78,right
2018092307,1345,62.98,50.37,3.81,72,left
2018092307,1707,51.79,42.41,4.58,79,left
2018092307,2036,98.44,36.04,3.96,72,right
2018092307,2371,12.92,39.82,5.24,87,left
2018092307,2461,64.3,27.42,3.92,72,right
2018092307,2812,102.52,22.52,4.09,74,right
2018092307,2923,31.67,15.99,4.79,81,left
2018092307,3014,95.23,53.52,4.37,73,right
2018092307,3483,32.8,12.95,4.19,75,left
2018092307,4081,16.21,34.41,4.56,78,left
2018092308,150,42.89,29.5,4.04,74,left
2018092308,569,50.8,30.98,4.13,75,left
2018092308,1173,34.24,15.89,3.38,67,left
2018092308,1329,97.46,35.88,4.46,77,right
2018092308,1847,85.55,26.13,4.33,77,right
2018092308,2129,75.65,42.49,4.29,75,right
2018092308,2966,31.92,32.01,4.67,79,left
2018092308,4183,30.18,33.6,3.72,69,left
2018092309,297,32.35,27.99,3.68,73,left
2018092309,394,81.64,10.83,4.12,75,right
2018092309,494,31.01,43.2,4.84,84,left
2018092309,1381,103.52,40.02,4.29,77,right
2018092309,2700,31.41,43.32,4.2,75,left
2018092309,3111,94.02,41.15,4.26,76,right
2018092309,3278,36.08,37.43,4.51,81,left
2018092309,3402,99.82,22.64,4.71,81,right
2018092309,3605,22.17,20.13,4.3,78,left
2018092309,3692,70.91,10.23,4.61,78,right
2018092310,301,89.62,47.67,4.51,80,right
2018092310,1095,32.64,26.96,4.17,75,left
2018092310,3559,80.63,12.16,4.41,79,right
2018092311,561,20.44,9.05,5.09,84,left
2018092311,1050,10.84,14.49,4.66,79,left
2018092311,1239,102.42,32.92,4.57,78,right
2018092311,1847,76.01,3.4,4.38,75,right
2018092311,2025,103.9,38.2,4.35,76,right
2018092311,2159,25.46,42.65,4.89,82,left
2018092311,3922,95.89,38.04,4.55,77,right
2018092312,156,95.75,28.27,5.01,83,right
2018092312,480,26.21,-0.04,4.42,65,left
2018092312,725,18.84,12.17,4.38,74,left
2018092312,931,77.08,18.62,4.83,81,right
2018092312,1035,31.4,-0.05,3.71,63,left
2018092312,1141,41.71,10.87,4.91,82,left
2018092312,2052,34.63,23.71,4.44,77,left
2018092312,2384,87.33,9.29,4.43,77,right
2018092312,2512,53.09,1.95,4.71,79,left
2018092312,2603,81.71,36.75,4.83,81,right
2018092312,3440,46.77,21.33,3.94,73,left
2018092312,3753,38.59,26.86,3.52,68,left
2018092312,4215,54.69,37.79,3.27,64,left
2018092313,124,23.08,48.4,4.01,75,left
2018092313,541,49.44,41.61,3.89,72,left
2018092313,991,88.12,27.1,4.34,74,right
2018092313,2625,20.43,39.4,3.98,73,left
2018092313,2959,80.0,43.83,4.11,77,right
2018092313,3059,37.25,39.42,4.26,77,left
2018092313,3381,25.27,-0.34,4.11,67,left
2018092400,139,64.96,36.06,3.87,72,right
2018092400,223,33.13,18.75,4.49,77,left
2018092400,771,14.76,11.76,4.51,78,left
2018092400,1575,40.05,27.19,3.97,74,left
2018092400,1727,18.08,33.57,4.86,82,left
2018092400,3619,78.56,25.14,3.62,69,right
2018092400,4104,99.56,44.81,4.37,77,right
2018092400,4221,29.49,34.67,4.42,79,left
2018092700,1414,82.87,56.04,4.58,79,right
2018092700,1496,43.3,46.4,2.94,62,left
2018092700,1895,35.83,47.58,4.46,77,left
2018092700,3422,86.71,25.73,4.63,80,right
2018092700,4070,41.08,1.09,3.89,72,left
2018093000,2659,101.9,31.03,4.33,77,right
2018093000,2805,38.83,17.06,3.78,72,left
2018093001,303,34.62,15.82,4.65,80,left
2018093001,430,87.97,22.72,4.73,80,right
2018093001,652,45.86,3.18,3.61,70,left
2018093001,1367,76.52,29.65,4.83,81,right
2018093001,1656,81.21,42.25,4.75,81,right
2018093001,3005,24.93,7.57,4.5,77,left
2018093001,3107,77.77,39.93,4.35,76,right
2018093002,163,105.69,40.4,4.46,77,right
2018093002,244,37.57,3.7,4.58,78,left
2018093002,428,99.22,39.16,4.34,76,right
2018093002,1967,28.18,29.48,4.79,72,left
2018093002,2352,21.89,39.69,4.43,77,left
2018093002,2435,73.49,13.54,4.59,79,right
2018093003,126,82.71,30.67,4.58,78,right
2018093003,354,16.4,35.45,3.99,75,left
2018093003,439,66.06,34.48,4.78,81,right
2018093003,799,98.76,13.61,4.14,75,right
2018093003,1173,51.87,46.53,4.55,79,left
2018093003,1327,21.95,32.11,4.16,73,left
2018093003,1563,106.87,12.92,4.66,82,right
2018093003,2692,27.27,29.4,4.72,82,left
2018093003,2796,65.26,40.34,4.35,78,right
2018093003,2899,76.57,19.06,4.35,78,right
2018093003,3125,81.54,45.7,3.98,73,right
2018093003,3281,26.46,42.19,5.23,87,left
2018093004,522,105.72,42.84,4.16,73,right
2018093004,734,44.73,25.64,4.17,75,left
2018093004,1507,82.76,53.44,4.33,66,right
2018093004,1734,68.06,13.06,4.33,76,right
2018093004,3316,15.56,11.82,4.51,79,left
2018093004,3535,19.69,45.56,4.78,78,left
2018093005,207,104.43,39.03,4.5,77,right
2018093005,725,68.56,32.42,4.3,76,right
2018093005,1237,33.77,53.45,4.06,69,left
2018093005,2062,14.77,26.85,5.17,83,left
2018093005,2412,105.76,24.34,4.16,74,right
2018093005,2985,79.87,30.82,4.24,76,right
2018093005,3121,23.79,31.33,3.34,64,left
2018093005,3646,95.32,46.47,5.42,88,right
2018093005,3731,54.55,38.97,3.39,66,left
2018093005,4036,41.64,28.95,4.42,77,left
2018093006,192,86.25,53.61,3.66,65,right
2018093006,724,83.52,32.74,4.46,79,right
2018093006,971,20.32,36.19,4.76,80,left
2018093006,1283,31.13,52.63,4.62,78,left
2018093006,1487,85.12,33.23,3.17,65,right
2018093006,1666,50.08,47.73,3.64,69,left
2018093006,2346,80.62,31.24,4.12,74,right
2018093006,2469,29.45,38.18,4.86,82,left
2018093006,3313,65.18,33.5,3.55,67,right
2018093007,390,9.21,18.17,4.27,69,left
2018093007,497,108.42,5.68,4.52,78,right
2018093007,607,20.01,29.67,4.48,78,left
2018093007,881,20.5,4.64,3.79,70,left
2018093007,1060,99.04,39.5,4.3,75,right
2018093007,1195,13.89,2.68,3.94,72,left
2018093007,1503,38.46,26.67,3.99,71,left
2018093007,1815,105.08,41.37,4.12,71,right
2018093007,3113,39.11,41.23,3.52,68,left
2018093007,3393,16.12,12.52,4.52,78,left
2018093007,3513,88.54,9.46,4.18,72,right
2018093008,193,16.46,5.77,4.22,74,left
2018093008,362,66.14,45.1,4.98,81,right
2018093008,1189,93.4,-0.16,4.72,72,right
2018093008,1322,45.63,8.46,4.51,78,left
2018093008,2376,95.84,37.79,3.58,66,right
2018093008,2829,89.79,43.47,4.49,78,right
2018093008,3296,28.82,48.74,4.67,78,left
2018093008,3465,108.16,46.78,5.02,79,right
2018093008,3728,86.25,27.09,4.69,78,right
2018093009,125,29.73,16.67,3.81,71,left
2018093009,221,96.24,26.0,4.45,77,right
2018093009,313,40.7,13.08,3.83,71,left
2018093009,1255,80.05,34.3,3.98,73,right
2018093009,1834,28.58,27.02,4.06,76,left
2018093009,2630,98.17,19.61,4.77,80,right
2018093009,2880,52.01,17.69,4.11,70,left
2018093009,3009,108.46,20.03,4.89,82,right
2018093009,3279,33.6,39.86,4.7,79,left
2018093009,3589,84.76,12.82,4.32,74,right
2018093009,4067,31.31,27.65,4.5,77,left
2018093009,4562,76.93,18.3,5.03,83,right
2018093009,5285,16.78,30.73,4.12,74,left
2018093010,212,91.52,35.38,3.95,72,right
2018093010,334,48.09,35.39,4.33,76,left
2018093010,1942,96.3,22.2,4.69,80,right
2018093010,2134,81.03,7.11,4.85,81,right
2018093010,2752,89.51,8.33,4.73,80,right
2018093010,2863,25.96,13.87,4.38,64,left
2018093010,3062,28.95,14.75,3.92,48,left
2018093010,3772,48.46,21.41,4.31,77,left
2018093010,3901,103.69,33.64,3.73,69,right
2018093011,168,84.14,10.18,5.23,85,right
2018093011,1053,86.96,16.06,4.67,81,right
2018093011,1761,73.47,41.15,3.04,66,right
2018093011,2252,102.57,6.21,4.63,80,right
2018093011,2806,41.44,42.12,4.6,78,left
2018093011,2906,29.4,28.61,4.17,73,left
2018093012,708,67.41,21.88,4.94,83,right
2018093012,794,28.16,-0.26,4.39,68,left
2018093012,1820,87.44,16.57,4.94,82,right
2018093012,2191,96.35,46.71,4.49,77,right
2018093012,2336,32.37,5.08,4.4,76,left
2018093012,2538,109.3,29.93,4.72,78,right
2018093012,2699,32.34,19.81,4.83,81,left
2018093012,3122,42.01,14.39,3.97,72,left
2018093012,3595,102.47,24.26,4.95,82,right
2018100100,568,32.92,37.84,4.19,84,left
2018100100,830,20.54,-0.69,3.85,70,left
2018100100,1592,31.13,24.51,3.63,69,left
2018100100,2618,14.73,47.58,4.45,77,left
2018100100,3000,33.67,42.78,4.33,75,left
2018100100,3648,49.56,1.7,3.99,73,left
2018100400,454,72.0,46.16,4.13,74,right
2018100400,554,16.08,44.63,4.22,77,left
2018100400,1465,92.45,38.05,4.37,78,right
2018100400,1632,47.73,35.63,4.53,79,left
2018100400,2531,105.82,37.51,4.78,80,right
2018100400,2618,45.6,34.15,4.22,76,left
2018100700,584,102.26,46.11,4.11,78,right
2018100700,736,47.19,35.79,4.48,78,left
2018100700,1191,105.91,30.66,4.21,75,right
2018100700,2315,14.41,38.67,4.02,74,left
2018100700,2473,82.66,37.42,4.12,74,right
2018100700,2576,34.04,41.48,3.89,72,left
2018100701,173,99.38,17.62,4.74,82,right
2018100701,317,57.24,9.27,4.6,78,left
2018100701,1006,105.05,46.77,4.53,75,right
2018100701,1150,31.11,9.51,4.28,77,left
2018100701,2132,95.16,37.27,4.99,82,right
2018100702,247,20.41,45.17,4.42,76,left
2018100702,687,24.32,22.16,5.33,87,left
2018100702,989,13.1,17.15,4.86,80,left
2018100702,1722,92.17,3.05,4.13,71,right
2018100702,1828,39.64,43.81,4.61,80,left
2018100702,2058,58.29,41.27,3.52,69,left
2018100702,2497,102.03,36.76,5.03,81,right
2018100702,3148,33.67,43.74,4.03,73,left
2018100702,3909,78.65,26.1,3.6,68,right
2018100703,263,101.3,27.85,4.48,78,right
2018100703,708,24.29,6.5,3.97,72,left
2018100703,818,99.89,43.64,4.19,75,right
2018100703,970,72.75,19.26,4.73,81,right
2018100703,1350,81.41,22.11,3.39,67,right
2018100703,1458,21.43,4.46,4.59,78,left
2018100703,1543,69.92,5.33,4.33,77,right
2018100703,1637,20.33,16.34,4.22,76,left
2018100703,2261,20.7,7.65,3.58,68,left
2018100703,3129,101.03,5.58,4.73,80,right
2018100703,3300,20.57,14.54,3.34,66,left
2018100703,3424,96.0,26.87,4.66,79,right
2018100703,3540,24.46,39.37,4.9,82,left
2018100703,3718,76.84,15.43,4.09,73,right
2018100703,4390,97.12,-0.17,4.54,78,right
2018100703,4645,23.9,7.75,4.36,74,left
2018100703,4855,16.76,30.14,4.76,79,left
2018100704,324,91.65,39.62,4.37,76,right
2018100704,1568,22.63,40.4,4.3,75,left
2018100704,2023,24.84,32.74,4.92,83,left
2018100704,3913,44.94,23.56,4.65,80,left
2018100704,4475,19.34,5.49,4.55,78,left
2018100705,191,40.91,50.16,3.19,66,left
2018100705,668,26.01,1.96,4.0,74,left
2018100705,2406,88.28,38.59,5.16,85,right
2018100705,2529,16.87,47.71,4.03,75,left
2018100705,4518,14.94,26.78,4.62,79,left
2018100706,221,28.34,0.62,4.94,81,left
2018100706,941,81.34,53.37,4.39,57,right
2018100706,1103,86.28,41.21,4.51,79,right
2018100706,1287,74.53,45.14,4.43,76,right
2018100706,1377,23.5,33.45,4.39,75,left
2018100706,2167,105.81,38.07,4.18,75,right
